ds,yhat,yhat_lower,yhat_upper
2021-01-01,4.177305868444048,-6.960470933216217,14.412750362556709
2021-02-01,5.396369310058482,-5.403433814575409,17.11840959231144
2021-03-01,10.286576667970213,-0.5665776989947472,21.00178050476506
2021-04-01,22.650873152973325,11.572981792291584,33.34774247100189
2021-05-01,35.703615508836506,24.350123039277427,47.166034012641774
2021-06-01,91.2555868963744,80.04929185411815,102.2175981646398
2021-07-01,52.68424764180112,42.23742079860887,63.67453253853384
2021-08-01,63.158339510472516,51.41990183680782,74.5713620016155
2021-09-01,34.93477955008691,24.647804749554616,45.236132557972944
2021-10-01,32.859843993266296,21.657646745643316,43.48871224630827
2021-11-01,3.741940877659726,-6.627877184757687,14.791517384851934
2021-12-01,3.720275586626844,-8.121941456734282,14.737006803007699
2022-01-01,3.1986064773743728,-7.56294344533057,13.867437326674285
2022-02-01,4.986550566959963,-5.8882045978508515,16.82825180267355
2022-03-01,11.756144553890444,1.0350196474749522,22.27112629061807
2022-04-01,22.755866619981077,12.0636794692388,34.40330593626252
2022-05-01,29.471127334774867,17.870841329408975,39.46597344793547
2022-06-01,84.23547819876362,73.05697360391176,94.8892666701712
2022-07-01,56.35092929942587,45.291238724865224,68.01296889497863
2022-08-01,70.42704431663682,59.69580255709384,81.5983224213954
2022-09-01,29.336564055729742,17.919342085760796,40.82074115272067
2022-10-01,30.879928353235243,19.976189253585268,42.7468908252651
2022-11-01,1.3342371275832505,-10.686670952681848,11.555137173580349
2022-12-01,1.9652602843795286,-9.50566099298963,13.139616421450249
2023-01-01,2.273012640631272,-9.333509084332055,12.988601652176861
2023-02-01,4.6242147214197225,-6.224891584594715,15.455856068071533
2023-03-01,13.187835473688379,2.1150010873990825,23.788748452415916
2023-04-01,22.724450895917162,11.862847344446637,33.93984100966855
2023-05-01,23.173665419530572,12.060937684420615,34.41616503287425
2023-06-01,77.36081283054257,67.3104888776501,88.7374650550408
2023-07-01,60.21650785641822,48.8990487211869,71.10369036572256
2023-08-01,77.57602645749301,66.71794113054732,89.20066590273667
2023-09-01,23.58667468327474,12.63152085126624,35.030974257249454
2023-10-01,28.894077714666626,17.427127470054053,40.89476296980838
2023-11-01,-1.0539707761185362,-12.350767608909017,10.380893244222623
2023-12-01,0.25734588394930213,-10.308858040375972,11.734720398222642
2024-01-01,1.4000935691731833,-8.88607469472594,12.691122335916887
2024-02-01,4.307427778134063,-7.527104261111761,14.986100625527982
2024-03-01,4.211484496712895,-6.431533695011019,15.621062704710772
2024-04-01,17.83886013963322,6.324009433030732,29.18804306599259
2024-05-01,37.29243347539023,26.629360795737533,48.73591627145584
2024-06-01,93.84255670825222,83.29284397240457,104.79296372512928
2024-07-01,44.65146362881444,33.941961219242025,55.45732219778104
2024-08-01,51.208359670432245,40.86498343414932,62.045063965851774
2024-09-01,35.80683984190175,24.42833019552438,47.20162400580054
2024-10-01,30.25944364878704,19.535458071359383,41.191316956088514
2024-11-01,1.5951413208124237,-9.904933284774835,12.427505127041645
2024-12-01,0.9497921604231827,-9.989907202861387,11.31352496850367
2025-01-01,-0.3941849005390097,-11.828540723010251,11.318231596594071
2025-02-01,0.8248785196856439,-10.46809242890409,12.779549975056394
2025-03-01,5.71508585824817,-6.073624041888731,16.45262553638795
2025-04-01,18.07938232176113,6.57472974134068,29.227995463154592
2025-05-01,31.13212465808744,20.5240217156088,42.563470403890534
2025-06-01,86.68409602558087,75.95310428737743,97.95722226774326
2025-06-30,68.51672054572188,57.439126113543594,78.71391122012585
2025-07-31,91.47597722677045,79.68452360640076,102.61488825380451
2025-08-31,11.645242345515788,0.6430681593302763,22.44217521363699
2025-09-30,24.91630046113224,13.527702288765886,36.720967843463484
2025-10-31,-5.76203838060702,-16.610091363627806,5.548341398283349
2025-11-30,-3.013243546486855,-14.689207753860293,7.511779228783588
2025-12-31,-0.18999378797218824,-11.013826766616194,11.316564294633734
2026-01-31,3.8023216748512993,-6.89364004204451,14.508811423832476
2026-02-28,17.218650486776234,6.118550348564159,28.58873016231233
2026-03-31,21.806755596920294,10.277007077932902,32.188759451792556
2026-04-30,3.965018144515394,-7.94103508709597,14.680032072172226
2026-05-31,57.67610451033116,46.86931525183466,69.19563072689459
