ADM2_PCODE,1,2,3,4,5,6,7,8,9,10,11,12,Cluster
BT00101,0.30544,1.1672666666666667,1.24848,7.609693333333333,2.38546,21.783223076923075,1.8893916666666666,13.072716666666667,9.119691666666666,10.003033333333333,0.83635,0.3681916666666667,1
BT00102,0.37949333333333335,1.9846266666666668,1.7794866666666667,7.71282,3.5230799999999998,34.09466153846154,1.711525,22.8077,11.749991666666666,18.794866666666667,0.59615,0.8846083333333333,1
BT00103,1.6736933333333333,2.09824,1.3929933333333333,8.992986666666667,8.498253333333333,33.748976923076924,4.359658333333333,20.12718333333333,10.289483333333333,14.697366666666667,1.0657916666666667,0.5745416666666666,1
BT00104,0.20604666666666666,1.2666666666666666,1.38182,8.739393333333334,5.060593333333333,38.16084615384615,1.8030333333333335,21.37878333333333,13.219691666666668,18.333325,0.8712249999999999,1.0,1
BT00201,3.08,10.32,8.6,28.21333333333333,26.626666666666665,107.87692307692308,71.31666666666666,94.13333333333334,38.38333333333333,43.48333333333333,1.4833333333333334,1.7166666666666666,2
BT00202,2.2400066666666665,8.066653333333333,8.880006666666667,33.67111333333334,46.21332666666667,146.84615384615384,95.11110833333333,114.39444166666665,50.01666666666667,50.344433333333335,1.5944416666666665,1.4388916666666667,2
BT00203,3.0166666666666666,9.0,8.016666666666667,19.25,18.85,64.3076923076923,60.4375,71.04166666666667,32.729166666666664,29.770833333333332,1.4583333333333333,1.4375,2
BT00204,2.6933333333333334,7.133333333333334,10.72,39.4,66.2,187.21538461538464,127.96666666666665,138.08333333333334,66.48333333333333,52.900000000000006,1.75,1.4166666666666667,2
BT00205,2.15558,6.777773333333333,7.5888800000000005,25.822226666666666,22.855546666666665,91.39743846153846,73.20831666666666,90.958325,40.166666666666664,36.43055833333333,1.4027833333333335,1.6666666666666667,2
BT00206,3.05186,7.896286666666667,8.511106666666667,29.92592,36.6,121.64956153846154,92.1574,107.49074166666666,45.27778333333333,43.49073333333333,1.50925,1.6574,2
BT00207,2.5852,8.177786666666668,8.066666666666666,29.33334,35.25924666666666,129.26497692307692,77.03704166666667,103.71296666666666,44.49073333333333,48.45370833333333,1.6296333333333333,1.3518583333333334,2
BT00208,2.9555533333333335,6.42222,8.266666666666667,29.86667333333333,48.933326666666666,131.4359,110.777775,129.19444166666668,50.166675,44.69444166666667,1.4722166666666665,1.6111083333333334,2
BT00209,2.0533333333333332,7.12,7.6,24.8,20.36,88.0,69.53333333333333,86.8,37.31666666666667,35.416666666666664,1.3833333333333335,1.7,2
BT00210,3.0,6.166666666666667,8.8,31.95,54.53333333333333,147.59615384615384,122.33333333333333,136.6875,56.083333333333336,47.583333333333336,1.5625,1.8333333333333333,2
BT00211,3.08888,6.1999933333333335,10.088893333333333,37.444446666666664,66.20000666666667,177.41026153846153,133.36110833333333,137.05555833333332,68.97221666666667,52.27778333333333,1.5833333333333333,1.6111083333333334,2
BT00301,2.7333333333333334,7.666666666666667,12.3,43.56666666666667,63.4,193.8846153846154,130.20833333333334,130.41666666666666,66.58333333333333,52.833333333333336,1.7916666666666667,1.3333333333333333,2
BT00302,2.7,7.083333333333333,10.583333333333334,36.55,51.266666666666666,162.69230769230768,107.77083333333333,118.85416666666667,54.916666666666664,49.6875,1.6666666666666667,1.3333333333333333,2
BT00303,2.6666666666666665,5.466666666666667,11.533333333333333,27.466666666666665,43.2,132.30769230769232,93.66666666666667,106.08333333333333,39.75,49.25,1.5833333333333333,1.3333333333333333,2
BT00304,2.7,6.566666666666666,9.866666666666667,32.36666666666667,46.53333333333333,144.69230769230768,97.58333333333333,111.54166666666667,47.416666666666664,49.333333333333336,1.6666666666666667,1.75,2
BT00306,2.790493333333333,6.171446666666667,9.057126666666667,26.295219999999997,32.9619,121.43954615384617,77.36903333333333,100.4762,36.98809166666667,47.88095833333333,1.6190416666666667,1.5952416666666667,2
BT00307,2.5777799999999997,5.177779999999999,9.88888,25.888893333333332,34.04445333333333,121.58974615384615,79.19445,96.47221666666667,37.583325,48.36111666666667,1.5555583333333332,1.3888916666666666,2
BT00308,2.4166666666666665,3.8333333333333335,8.633333333333333,21.983333333333334,27.05,103.26923076923077,70.0,85.29166666666667,31.3125,42.458333333333336,1.3333333333333333,1.5833333333333333,2
BT00309,2.716666666666667,7.8,12.166666666666666,41.93333333333333,69.28333333333333,203.3653846153846,142.75,143.08333333333334,70.35416666666667,53.333333333333336,1.8541666666666667,1.2708333333333333,2
BT00310,2.8777866666666667,8.64444,13.65556,45.62222,68.93333333333334,209.48717692307693,135.097225,135.90276666666668,73.86110833333333,53.111108333333334,1.9166666666666667,1.4444416666666668,2
BT00311,2.6666666666666665,6.533333333333333,12.066666666666666,34.6,50.06666666666667,155.23076923076923,105.25,118.91666666666667,48.5,50.25,1.6666666666666667,1.75,2
BT00312,2.6,4.733333333333333,11.666666666666666,26.933333333333334,34.0,129.76923076923077,79.66666666666667,94.0,36.166666666666664,46.25,1.3333333333333333,1.5,2
BT00313,2.766673333333333,7.18888,12.088899999999999,37.13334,54.06666666666667,165.51281538461538,110.66665833333333,120.55555833333334,54.250008333333334,49.444449999999996,1.6666666666666667,1.5416666666666667,2
BT00314,3.3666666666666667,11.21,8.883333333333333,20.676666666666666,18.886666666666667,81.3153846153846,53.6875,73.70416666666667,28.7625,39.7875,1.6916666666666667,1.575,2
BT00401,1.6666666666666667,3.24,4.453333333333333,10.520000000000001,11.68,38.06153846153846,28.099999999999998,45.349999999999994,18.816666666666666,13.299999999999999,1.2833333333333334,1.6333333333333335,1
BT00402,1.9333333333333333,2.7666666666666666,4.52,10.613333333333335,9.360000000000001,29.123076923076926,26.208333333333332,34.65,22.633333333333336,14.875,1.1666666666666667,1.175,1
BT00403,1.39278,2.526133333333333,3.181973333333333,10.005393333333332,7.85766,23.93140769230769,20.619366666666668,23.403141666666667,21.952700000000004,7.824333333333333,1.1644083333333333,0.725225,1
BT00404,1.10908,2.3232399999999997,3.088886666666667,10.325266666666666,6.305033333333333,23.95106153846154,11.868683333333331,21.59975833333333,15.952016666666665,8.90025,0.9848333333333333,0.48233333333333334,1
BT00501,2.5435866666666667,6.930766666666667,8.287173333333334,17.5436,14.758973333333333,43.16273846153846,51.18588333333333,52.1218,30.97435833333333,23.25,1.416675,0.8653833333333334,1
BT00502,2.343593333333333,7.7230799999999995,7.6615400000000005,24.189746666666668,24.85127333333333,85.6153923076923,75.25000833333333,92.69230833333334,43.192299999999996,34.75,1.4102666666666668,1.5512833333333333,2
BT00503,1.8666666666666667,6.6,6.933333333333334,15.866666666666667,14.766666666666667,47.65384615384615,58.708333333333336,60.791666666666664,30.666666666666668,21.708333333333332,1.3333333333333333,1.7083333333333333,1
BT00504,2.1143,8.380966666666668,7.657153333333333,18.895233333333334,15.085713333333334,58.648353846153846,60.58334166666666,67.25000833333333,37.70238333333334,26.726166666666668,1.4642916666666668,1.4642833333333334,1
BT00505,2.4037066666666664,8.17038,9.118513333333334,23.911099999999998,21.92964,74.91024615384616,70.53241666666666,87.50463333333333,41.06480833333333,27.930558333333334,1.5648166666666665,1.72685,2
BT00506,1.75556,4.155566666666667,6.97778,16.75556,13.511106666666668,47.435892307692306,56.305550000000004,59.250008333333334,35.166675,23.166658333333334,1.3333333333333333,1.6388833333333332,1
BT00601,1.1133333333333333,0.6966666666666668,1.0466666666666666,9.233333333333333,9.383333333333333,43.52307692307693,4.983333333333333,25.2625,4.783333333333334,15.329166666666666,1.05,1.4416666666666667,1
BT00602,1.1777666666666666,0.96668,2.27778,8.62222,11.711106666666668,49.8077,4.888875,28.166658333333334,7.916666666666667,20.708333333333332,1.0,1.972225,1
BT00603,0.7710066666666666,0.6579666666666667,1.0231866666666667,13.284066666666666,10.79132,39.6689,2.666675,18.318833333333334,13.355066666666666,13.010858333333333,1.2391083333333335,0.6847833333333333,1
BT00604,0.7717466666666667,0.9091,0.6585733333333332,8.525246666666666,1.9070733333333334,27.98602307692308,1.2474666666666667,13.833325,7.411616666666667,11.098483333333334,0.7500249999999999,0.709625,1
BT00605,0.7111066666666666,0.7333466666666666,2.2666733333333338,8.688893333333333,17.933333333333334,49.84616153846154,9.722216666666666,29.916666666666668,8.194433333333334,17.416658333333334,0.9444500000000001,1.6666916666666667,1
BT00606,0.9916666666666667,0.85,2.1333333333333333,8.2,13.066666666666666,44.74038461538461,7.229166666666667,30.104166666666668,5.5625,18.885416666666668,0.96875,1.8020833333333333,1
BT00607,1.1777733333333333,0.5333333333333333,2.211113333333333,9.444433333333333,17.7889,50.29486923076923,6.402775000000001,30.87500833333333,11.402783333333332,17.055558333333334,1.0,1.5833166666666667,1
BT00608,1.3333266666666668,0.7333466666666666,2.822213333333333,9.06666,14.88888,48.20512307692308,3.1388916666666664,27.027783333333332,13.277766666666666,18.472216666666668,1.0,1.472225,1
BT00701,2.0,2.0,7.4,12.8,31.333333333333332,73.92307692307692,22.916666666666668,36.5,14.0,25.083333333333332,1.0833333333333333,3.0,1
BT00702,1.5666666666666667,2.0,7.766666666666667,12.466666666666667,24.933333333333334,67.38461538461539,18.833333333333332,32.333333333333336,14.416666666666666,23.458333333333332,1.125,2.125,1
BT00703,1.5555666666666668,1.6889,9.999993333333332,15.800006666666667,32.066673333333334,83.2564,30.44445,33.94444166666667,16.027775000000002,25.833325000000002,1.55555,2.111125,1
BT00704,1.3,1.3666666666666667,6.366666666666666,9.9,30.6,62.38461538461539,20.75,32.625,20.625,21.916666666666668,1.375,1.625,1
BT00705,1.6,1.6333333333333333,10.433333333333334,15.533333333333333,32.4,85.76923076923077,35.666666666666664,36.083333333333336,17.583333333333332,28.458333333333332,1.4583333333333333,2.1666666666666665,1
BT00706,2.1333333333333333,3.1866666666666665,15.626666666666667,25.88,42.733333333333334,130.32307692307694,56.56666666666666,48.38333333333333,26.5,34.98333333333333,1.5833333333333333,2.183333333333333,0
BT00707,2.1666666666666665,3.2666666666666666,15.833333333333334,24.3,47.46666666666667,136.15384615384616,57.583333333333336,48.583333333333336,25.208333333333332,35.875,1.625,2.5,0
BT00708,1.6444466666666666,2.4000133333333333,12.711113333333333,19.377779999999998,40.02222,106.0,43.94444166666667,38.69444166666667,21.527775000000002,31.0,1.4444416666666668,1.8333416666666666,0
BT00709,1.6333333333333333,1.6666666666666667,9.666666666666666,14.766666666666667,28.6,79.73076923076923,26.166666666666668,32.5,15.208333333333334,24.666666666666668,1.125,1.9583333333333333,1
BT00710,1.6333333333333333,1.8,10.266666666666667,13.066666666666666,39.3,73.11538461538461,33.666666666666664,34.458333333333336,16.583333333333332,23.666666666666668,1.75,2.3333333333333335,1
BT00711,1.7333333333333334,2.0,6.6,12.8,25.6,69.61538461538461,16.333333333333332,31.833333333333332,15.75,24.0,1.0833333333333333,2.1666666666666665,1
BT00712,1.53726,2.0823533333333333,7.894106666666667,14.929426666666666,21.231373333333334,78.31222307692308,22.151966666666667,33.55883333333333,14.848033333333333,27.200975,1.0686250000000002,2.176483333333333,1
BT00713,1.3636266666666665,0.6666533333333333,1.68486,9.484833333333334,10.024239999999999,49.95803076923077,2.6212166666666668,25.9091,17.303025,17.27273333333333,1.01515,1.393925,1
BT00714,1.6666733333333332,2.6,10.552373333333332,21.01904,27.17144,102.39559230769231,34.702391666666664,38.726175,25.357141666666667,31.976183333333335,1.3214083333333333,1.4285583333333334,1
BT00715,1.7111066666666666,1.6889,10.84446,17.06666,34.844453333333334,92.87180769230768,36.55555833333333,38.22221666666667,19.694458333333333,29.138891666666666,1.3888916666666666,1.9166666666666667,1
BT00716,1.7777866666666666,1.5333333333333334,4.644453333333333,11.111099999999999,14.666673333333334,55.87179230769231,7.472216666666667,29.166666666666668,16.416666666666668,19.916658333333334,1.0,1.6666416666666668,1
BT00717,2.17778,1.6333533333333332,5.244433333333333,11.1,17.922226666666667,68.05127692307693,15.166675,32.388875,9.500016666666667,23.347216666666668,1.0138833333333332,2.569433333333333,1
BT00801,2.5,6.766666666666667,7.9,18.483333333333334,20.416666666666668,57.21153846153846,64.22916666666667,63.104166666666664,34.354166666666664,24.9375,1.3958333333333333,1.75,1
BT00803,2.316666666666667,2.933333333333333,5.508333333333334,13.483333333333333,15.35,36.91346153846154,45.104166666666664,51.635416666666664,28.302083333333332,22.760416666666668,1.1666666666666667,1.0208333333333333,1
BT00804,1.6,3.2,6.133333333333334,14.8,17.3,41.15384615384615,55.083333333333336,54.916666666666664,27.75,21.5,1.3333333333333333,1.625,1
BT00805,1.6,3.1,6.433333333333334,14.533333333333333,16.9,38.19230769230769,54.666666666666664,57.458333333333336,28.666666666666668,20.625,1.3333333333333333,1.75,1
BT00806,1.7,3.566666666666667,6.733333333333333,15.566666666666666,19.1,43.73076923076923,60.125,58.125,29.916666666666668,22.125,1.3333333333333333,1.5833333333333333,1
BT00807,2.04,6.293333333333333,6.96,17.52,16.04,50.646153846153844,56.43333333333334,64.95,34.93333333333333,26.133333333333336,1.3333333333333333,1.7999999999999998,1
BT00808,1.8,4.1,6.7,16.633333333333333,15.6,49.46153846153846,58.5,58.541666666666664,31.625,23.041666666666668,1.3333333333333333,1.5833333333333333,1
BT00809,2.24444,3.5523733333333336,6.273013333333334,11.346020000000001,12.609526666666666,31.219784615384615,43.33731666666667,45.36904166666667,27.75791666666667,18.658725,0.9444500000000001,1.0317416666666668,1
BT00901,2.2,3.2333333333333334,16.166666666666668,24.566666666666666,45.3,139.84615384615384,54.041666666666664,47.75,25.083333333333332,35.083333333333336,1.6666666666666667,2.5416666666666665,0
BT00902,3.0266666666666664,4.7733333333333325,18.706666666666667,34.24,66.21333333333334,171.0,66.89999999999999,59.43333333333334,46.35,37.85,1.95,1.7,0
BT00903,2.2,2.8666666666666667,16.933333333333334,25.2,42.4,137.69230769230768,50.666666666666664,47.916666666666664,26.333333333333332,33.916666666666664,1.5833333333333333,2.25,0
BT00904,2.522213333333333,4.8,18.533326666666667,33.6,56.344433333333335,163.9615307692308,69.62500833333333,63.166675,41.208325,39.833325,1.8194416666666668,1.847225,0
BT00905,2.2,3.566666666666667,17.366666666666667,27.083333333333332,48.6,147.8846153846154,62.0,57.395833333333336,30.333333333333332,37.083333333333336,1.7708333333333333,2.1666666666666665,0
BT00906,2.0833333333333335,3.55,17.5,28.716666666666665,46.916666666666664,152.07692307692307,55.645833333333336,61.208333333333336,35.104166666666664,34.6875,1.75,1.6666666666666667,0
BT00907,1.8222266666666664,2.5111133333333333,14.733326666666667,22.55556,36.55554666666667,122.71793076923076,41.72221666666667,45.72221666666667,22.611116666666664,31.555558333333334,1.55555,1.9166583333333334,0
BT00908,3.211113333333333,5.1110999999999995,19.388879999999997,37.666666666666664,69.03333333333333,172.1281846153846,81.23610833333333,65.18055,52.166675,43.19444166666667,1.8888916666666666,2.0138833333333332,0
BT00909,2.0222133333333336,2.75556,15.866666666666667,22.888893333333332,43.15556,130.48718461538462,51.02778333333333,46.80555833333333,22.944433333333336,34.111108333333334,1.6111083333333334,2.3333416666666666,0
BT00910,2.0,3.2,16.466666666666665,24.866666666666667,42.266666666666666,134.84615384615384,49.666666666666664,43.666666666666664,27.666666666666668,32.916666666666664,1.5833333333333333,1.5,0
BT00911,1.8,2.6666666666666665,15.033333333333333,23.866666666666667,34.86666666666667,130.1153846153846,40.083333333333336,45.125,25.0,31.041666666666668,1.5833333333333333,1.5833333333333333,0
BT01001,1.4666666666666666,1.6666666666666667,5.2,11.333333333333334,24.533333333333335,49.61538461538461,50.25,61.166666666666664,14.416666666666666,19.583333333333332,1.1666666666666667,2.9166666666666665,1
BT01002,1.3,1.25,3.5,9.583333333333334,15.25,38.71153846153846,33.9375,49.833333333333336,16.854166666666668,13.875,1.0208333333333333,2.1041666666666665,1
BT01003,1.5333333333333334,1.5333333333333334,5.0,10.933333333333334,23.333333333333332,48.61538461538461,47.333333333333336,59.583333333333336,14.25,18.833333333333332,1.1666666666666667,2.75,1
BT01004,1.3,1.4,3.0,9.766666666666667,8.066666666666666,34.96153846153846,29.791666666666668,47.375,14.958333333333334,16.291666666666668,1.0,2.125,1
BT01005,1.3333333333333333,1.3333333333333333,4.533333333333333,10.533333333333333,22.933333333333334,45.0,51.333333333333336,57.166666666666664,15.583333333333334,14.75,1.0,3.0833333333333335,1
BT01006,1.35238,1.3904733333333332,3.7619,10.94286,9.809526666666667,40.065938461538465,33.03570833333333,52.29761666666667,18.726191666666665,17.714291666666664,1.10715,1.9643,1
BT01007,1.4,1.4666666666666666,4.666666666666667,11.1,21.666666666666668,47.76923076923077,44.916666666666664,57.708333333333336,17.75,18.875,1.125,2.125,1
BT01008,1.3,1.2,3.4,10.6,17.633333333333333,44.69230769230769,33.708333333333336,54.458333333333336,19.416666666666668,14.708333333333334,1.0833333333333333,1.875,1
BT01009,1.4,1.4666666666666666,4.8,11.866666666666667,17.4,44.23076923076923,43.25,56.416666666666664,14.75,18.166666666666668,1.0833333333333333,2.3333333333333335,1
BT01010,1.2666666666666666,1.4666666666666666,4.333333333333333,11.333333333333334,11.76,45.138461538461534,37.016666666666666,57.583333333333336,20.283333333333335,19.016666666666666,0.9500000000000001,2.0333333333333337,1
BT01011,1.22222,2.02224,2.8222266666666664,10.022226666666667,14.368886666666667,37.6923,23.533325,44.194449999999996,19.011108333333333,13.13335,1.1833333333333333,1.4833333333333334,1
BT01101,3.51112,5.37778,24.866660000000003,34.08889333333333,76.37776666666667,174.7564153846154,68.49998333333333,61.902775,39.194433333333336,36.472225,2.055566666666667,2.1388833333333332,0
BT01102,2.48888,2.799986666666667,17.088900000000002,25.866660000000003,41.466660000000005,134.84615384615384,42.416675,52.80555833333333,26.555558333333334,31.666674999999998,1.9722166666666665,1.9722250000000001,0
BT01103,3.0166666666666666,4.541666666666667,22.416666666666668,26.858333333333334,72.93333333333334,164.03846153846155,60.677083333333336,74.29166666666667,33.760416666666664,36.947916666666664,2.125,2.2291666666666665,0
BT01104,2.8484866666666666,3.5878799999999997,15.24848,25.28484,41.212113333333335,136.19580769230768,34.96969166666667,57.87879999999999,28.901508333333336,30.59091666666667,2.0757583333333334,1.8484833333333333,0
BT01105,2.37778,4.400013333333333,20.422213333333335,29.7,53.5,154.19231538461537,57.361108333333334,61.569449999999996,33.513891666666666,34.888891666666666,1.847225,1.847225,0
BT01106,3.088886666666667,5.6222199999999996,27.466666666666665,29.73332,78.26667333333333,170.38460769230772,70.36110833333333,68.49999166666666,34.472225,34.777775,2.3889,2.6388833333333337,0
BT01107,3.146666666666667,5.733333333333333,28.4,32.82666666666667,85.05333333333333,175.1846153846154,69.46666666666667,63.85,39.81666666666667,36.61666666666667,2.3333333333333335,2.5500000000000003,0
BT01108,3.13334,4.4222133333333336,24.955566666666666,28.133346666666668,75.51110666666666,169.69230769230768,69.05555,71.19444166666666,33.055550000000004,34.888891666666666,2.277775,2.944433333333333,0
BT01109,3.212126666666667,3.27878,10.04242,21.206053333333333,42.21818666666666,131.90908461538461,29.787883333333337,61.56819166666667,25.371225,30.196975,1.878775,1.7878833333333333,0
BT01110,3.62778,4.55,6.12222,17.46110666666667,25.97778,101.56410769230769,10.972225,46.652775,20.923616666666664,26.34026666666667,1.81945,1.7916666666666667,0
BT01111,2.3666666666666667,4.833333333333333,21.066666666666666,28.033333333333335,56.233333333333334,150.15384615384616,56.583333333333336,63.791666666666664,31.875,34.708333333333336,2.0416666666666665,2.125,0
BT01201,2.5714266666666665,8.819046666666667,10.238093333333332,25.276186666666668,33.41904,85.79121538461537,85.297625,116.01190000000001,55.02381666666667,28.97619166666667,1.357125,1.7023833333333334,2
BT01202,2.566666666666667,6.266666666666667,9.633333333333333,27.266666666666666,40.63333333333333,115.03846153846153,107.08333333333333,142.04166666666666,69.58333333333333,38.208333333333336,1.4166666666666667,1.5,2
BT01203,2.066666666666667,6.133333333333334,8.933333333333334,25.266666666666666,51.53333333333333,114.76923076923077,128.08333333333334,162.5,72.0,45.333333333333336,1.3333333333333333,1.6666666666666667,2
BT01204,2.3833333333333333,7.133333333333334,9.0,31.9,44.416666666666664,134.57692307692307,121.72916666666667,150.72916666666666,67.4375,45.833333333333336,1.375,1.5208333333333333,2
BT01205,3.04,7.08,9.106666666666666,31.813333333333333,38.12,126.78461538461539,103.11666666666667,120.45,50.76666666666667,43.550000000000004,1.5166666666666666,1.9000000000000001,2
BT01206,3.1,6.883333333333334,8.783333333333333,31.083333333333332,52.233333333333334,137.8653846153846,118.20833333333333,130.625,60.208333333333336,44.104166666666664,1.375,1.7916666666666667,2
BT01207,3.1999866666666668,7.622213333333334,9.111106666666666,32.044446666666666,36.84444,129.76923846153846,103.91666666666667,124.55554166666667,55.055575,43.52778333333333,1.5555666666666665,1.69445,2
BT01208,2.65,6.75,9.0,27.6,37.03333333333333,111.82692307692308,97.20833333333333,134.04166666666666,61.541666666666664,37.375,1.4583333333333333,1.5208333333333333,2
BT01209,3.04,6.16,10.16,37.24,70.52,170.2,150.79999999999998,151.79999999999998,83.55,50.6,1.55,1.6500000000000001,2
BT01210,2.933333333333333,6.3,9.233333333333333,32.583333333333336,58.96666666666667,145.3653846153846,133.89583333333334,148.5625,71.54166666666667,48.270833333333336,1.3958333333333333,1.625,2
BT01211,2.0,5.933333333333334,9.6,26.466666666666665,54.6,120.92307692307692,149.41666666666666,177.16666666666666,82.0,44.5,1.3333333333333333,1.8333333333333333,2
BT01212,3.0666733333333336,6.288893333333333,9.111113333333332,33.57776666666667,59.42222666666667,157.2564076923077,131.02775833333334,143.72223333333332,68.00000833333333,48.666666666666664,1.6111083333333334,1.833325,2
BT01213,2.7199999999999998,8.213333333333333,9.653333333333334,25.586666666666666,33.346666666666664,93.98461538461538,88.43333333333334,120.8,55.166666666666664,31.683333333333334,1.4833333333333334,1.5999999999999999,2
BT01214,2.0,5.866666666666666,9.066666666666666,26.266666666666666,61.666666666666664,127.38461538461539,149.75,167.16666666666666,86.0,46.416666666666664,1.3333333333333333,1.6666666666666667,2
BT01301,3.033333333333333,4.633333333333334,14.433333333333334,37.266666666666666,50.46666666666667,153.53846153846155,103.875,99.375,47.541666666666664,44.958333333333336,1.625,1.625,2
BT01302,3.466666666666667,5.0,18.4,43.6,72.33333333333333,190.53846153846155,128.58333333333334,101.75,54.916666666666664,48.416666666666664,2.0,2.0,2
BT01303,3.2933333333333334,5.08,14.186666666666667,37.34666666666667,50.34666666666667,139.92307692307693,93.55,97.7,44.86666666666667,43.21666666666667,1.6666666666666667,1.6666666666666667,2
BT01304,2.841666666666667,4.475,11.591666666666667,27.966666666666665,32.65833333333333,124.09615384615384,59.697916666666664,82.42708333333333,32.291666666666664,40.6875,1.6145833333333333,1.5625,0
BT01305,3.7333333333333334,5.2,17.666666666666668,45.03333333333333,65.0,179.8846153846154,118.66666666666667,100.66666666666667,56.666666666666664,47.083333333333336,1.9166666666666667,1.7916666666666667,2
BT01306,3.56,5.413333333333333,12.893333333333334,35.586666666666666,44.50666666666667,137.98461538461538,86.14999999999999,100.08333333333333,42.516666666666666,46.85,1.6333333333333335,1.45,2
BT01307,2.845626666666667,4.424566666666666,11.154386666666666,26.77192,29.228073333333334,116.48582307692308,52.407900000000005,68.679825,27.811400000000003,37.66665833333334,1.6754499999999999,1.5614083333333333,0
BT01308,3.59048,7.85714,14.68572,46.40000666666666,61.61903333333333,192.52746923076924,117.09523333333334,116.13096666666667,62.178575,51.476191666666665,1.9166583333333334,1.440475,2
BT01309,2.7110933333333334,4.5777866666666664,14.555560000000002,37.75555333333333,51.97777333333333,170.97435384615386,95.11111666666666,92.88888333333334,49.111124999999994,44.80554166666667,1.6666833333333333,1.69445,2
BT01310,3.533333333333333,6.066666666666666,15.666666666666666,40.93333333333333,58.86666666666667,154.92307692307693,106.91666666666667,100.5,46.833333333333336,47.75,1.9166666666666667,1.6666666666666667,2
BT01311,3.216666666666667,6.833333333333333,19.833333333333332,50.86666666666667,74.13333333333334,169.73076923076923,89.41666666666667,76.35416666666667,77.3125,46.5,1.9375,1.625,2
BT01312,2.9999866666666666,5.000006666666667,14.311100000000001,39.62222,47.64444666666667,163.71795384615385,79.833325,86.33334166666667,49.222225,43.805566666666664,1.8055583333333332,1.2778,2
BT01401,1.35238,2.5047533333333334,5.066666666666666,11.53332,12.380953333333334,42.38461538461539,42.11904166666667,55.48809166666667,26.20238333333333,20.702383333333334,0.547625,1.6309500000000001,1
BT01402,3.0666733333333336,20.961906666666668,11.847613333333333,21.580953333333333,11.819046666666669,60.31867692307692,49.38095833333333,58.25,34.15476666666667,30.71428333333333,1.2976416666666666,0.8928583333333333,2
BT01403,2.6666666666666665,10.5,8.55,19.166666666666668,18.1,61.61538461538461,58.645833333333336,62.854166666666664,34.875,26.916666666666668,1.5208333333333333,1.4791666666666667,2
